@RELATION etTypeWriterSounds
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {charriot,clavier,clavier_multi,ding,tab,blanc}

@DATA
0.147546,0.001813,2.722666,0.273823,0.233403,1.081283,0.005978,0.251733,-31.654399,1.963997,0.398740,0.367681,0.021236,0.058187,-0.177068,-0.233600,-0.052370,0.003689,-0.083603,0.128088,0.113249,0.007668,0.001131,0.056528,0.003655,0.041787,0.010391,0.035049,0.001616,0.006883,0.007473,0.014862,0.001007,0.024548,0.097849,0.004194,0.514730,0.081173,0.018949,0.796408,0.004570,0.206530,2.726829,0.875914,0.414476,0.345288,0.257788,0.244496,0.283712,0.223072,0.237675,0.282203,0.269360,0.209723,0.219954,0.008966,0.001149,0.051869,0.003656,0.040044,0.016108,0.032401,0.002516,0.010224,0.010694,0.018325,0.000987,0.016210,clavier_multi
0.205803,0.004819,2.488367,0.313440,0.216296,1.613463,0.002747,0.380551,-29.366947,1.551956,0.350242,0.299875,0.144548,0.027638,-0.387302,-0.291937,0.294066,0.336518,-0.035905,0.032904,-0.009503,0.004390,0.001274,0.041324,0.003543,0.009885,0.006854,0.022634,0.000973,0.005521,0.008360,0.027377,0.003018,0.014612,0.089495,0.009144,0.746957,0.071079,0.015150,0.640279,0.001388,0.156951,2.336429,0.848951,0.333369,0.444867,0.237970,0.224458,0.346687,0.214735,0.256405,0.205340,0.170201,0.206632,0.180961,0.003993,0.001139,0.037148,0.003295,0.008457,0.008431,0.019371,0.000763,0.007217,0.008068,0.026671,0.002555,0.012137,clavier_multi
0.182409,0.003044,2.566334,0.295375,0.222188,1.449470,0.003868,0.354047,-30.516298,1.605883,0.446494,0.527610,0.131093,0.088456,-0.067255,-0.161137,0.086180,0.192537,-0.161949,0.079494,0.049255,0.004492,0.001476,0.059106,0.005695,0.029597,0.004816,0.036089,0.001128,0.003699,0.005562,0.017028,0.001561,0.021410,0.089639,0.007338,0.690403,0.064804,0.018293,0.711156,0.003043,0.172329,2.724594,0.893958,0.329958,0.348663,0.251956,0.200234,0.239623,0.207358,0.217522,0.247830,0.198247,0.185931,0.204375,0.004094,0.002856,0.059820,0.007411,0.029313,0.005560,0.031058,0.000992,0.004710,0.005142,0.018415,0.001401,0.017350,clavier_multi
0.068071,0.001425,3.060253,0.174665,0.231137,0.278851,0.010475,0.092677,-35.070367,1.762272,0.543057,0.037125,0.467899,0.117346,0.178614,-0.363962,0.145494,0.184807,0.415201,-0.129377,0.127611,0.002234,0.000649,0.015969,0.000930,0.001716,0.001004,0.074931,0.001015,0.001166,0.002542,0.002980,0.000711,0.021127,0.011376,0.003250,0.371725,0.030042,0.030248,0.334970,0.009303,0.038535,2.740738,0.593686,0.336862,0.245336,0.304695,0.190433,0.201993,0.249489,0.165109,0.132206,0.213312,0.166091,0.183448,0.005209,0.000944,0.011709,0.001853,0.001885,0.001291,0.033048,0.002022,0.002001,0.004001,0.002485,0.000510,0.008956,ding
0.068994,0.001119,3.142608,0.183468,0.238784,0.313252,0.003581,0.086833,-35.364100,1.944602,0.592112,0.165981,0.371065,0.126037,0.224151,-0.121724,0.298807,0.221331,0.279047,-0.035232,0.171900,0.005189,0.001378,0.070345,0.001267,0.005706,0.001518,0.039359,0.001921,0.001970,0.008123,0.005320,0.001017,0.024633,0.017893,0.003635,0.180369,0.052167,0.046831,0.290468,0.002946,0.041272,2.720189,0.666535,0.275791,0.267179,0.223227,0.145476,0.213125,0.179824,0.120592,0.145906,0.136640,0.112371,0.204682,0.009249,0.002459,0.026104,0.001139,0.003683,0.001491,0.037210,0.003258,0.003250,0.010465,0.003928,0.000893,0.009857,ding
0.069233,0.002129,2.951011,0.153723,0.168722,0.741626,0.003136,0.139714,-30.922757,0.954852,0.068157,-0.129225,0.114301,0.182985,0.069769,-0.219153,0.195645,0.401900,0.303258,0.076632,-0.002548,0.003331,0.001445,0.043037,0.001490,0.004263,0.001382,0.052813,0.005772,0.003440,0.006993,0.007909,0.002439,0.017854,0.027942,0.004504,0.549987,0.035255,0.042989,0.603282,0.003088,0.082612,3.595569,1.077762,0.401368,0.302683,0.400428,0.230532,0.332358,0.208721,0.147358,0.172138,0.217935,0.216489,0.202201,0.004718,0.001280,0.049232,0.001550,0.004604,0.001373,0.061378,0.006758,0.005351,0.006691,0.009744,0.001968,0.019770,ding
0.061833,0.002294,2.879309,0.143006,0.191116,0.528627,0.008700,0.104539,-31.748843,1.817692,0.435541,0.278053,0.429116,-0.094514,0.265845,-0.191913,0.332614,0.037818,0.129002,-0.012221,0.352360,0.002239,0.000976,0.019580,0.000865,0.003094,0.001456,0.107109,0.001317,0.001636,0.011055,0.005101,0.001748,0.030208,0.037790,0.004638,0.724440,0.037004,0.034680,0.576836,0.008629,0.089556,3.805052,0.548950,0.611267,0.289722,0.368578,0.178213,0.350805,0.171245,0.191909,0.218272,0.243138,0.176672,0.246986,0.004175,0.001621,0.014732,0.001009,0.002039,0.001390,0.113644,0.001991,0.002364,0.014535,0.004116,0.001305,0.030713,ding
0.036684,0.001106,2.782058,0.202018,0.255807,0.296811,0.010569,0.037986,-34.400843,2.206417,0.375137,0.423449,0.171875,0.126163,0.098247,-0.062511,0.056825,0.134840,0.031222,0.046315,0.110401,0.004687,0.001089,0.034093,0.002559,0.009796,0.002589,0.174451,0.001107,0.001209,0.014910,0.009491,0.000863,0.049616,0.026034,0.002635,0.378079,0.041841,0.047058,0.443000,0.010342,0.071209,3.301675,0.638108,0.393376,0.294695,0.215106,0.222790,0.161709,0.160521,0.214232,0.237646,0.172290,0.155959,0.148433,0.006149,0.001626,0.026751,0.004637,0.010079,0.002716,0.086047,0.001993,0.001250,0.018143,0.012752,0.001234,0.022491,tab
0.043503,0.002271,2.589792,0.171671,0.206413,0.644937,0.006389,0.107628,-31.657957,1.848663,0.370858,0.392716,0.134782,0.131944,0.142155,-0.119935,0.114989,0.201400,0.018621,0.091466,0.244214,0.002651,0.000827,0.039984,0.002244,0.005328,0.001445,0.116312,0.002752,0.003486,0.021811,0.010368,0.000935,0.033889,0.033319,0.005130,0.437011,0.047087,0.062702,0.750619,0.006642,0.130605,4.338340,1.150660,0.468988,0.440096,0.253130,0.234495,0.251099,0.249139,0.258405,0.292289,0.207447,0.194245,0.223779,0.002575,0.000851,0.045842,0.002270,0.005521,0.001479,0.079221,0.005975,0.002999,0.024877,0.011509,0.000963,0.022864,tab
0.038121,0.002840,2.765557,0.183068,0.229503,0.382008,0.014806,0.054120,-32.988313,1.920004,0.384354,0.413666,0.139140,0.129489,0.109828,-0.073132,-0.037747,0.153094,0.005785,0.028576,0.147996,0.002621,0.000701,0.039229,0.002222,0.007060,0.002104,0.162173,0.004629,0.001410,0.007378,0.007316,0.000671,0.046742,0.032719,0.007024,0.357854,0.052704,0.066872,0.608263,0.019543,0.102293,4.848003,0.858831,0.464757,0.321272,0.135591,0.250609,0.291786,0.165770,0.178159,0.247167,0.153279,0.111875,0.177734,0.002296,0.000933,0.044520,0.002210,0.009052,0.002605,0.082746,0.014693,0.001705,0.007232,0.010475,0.000969,0.021706,tab
0.486540,0.066502,3.291737,0.549340,0.361585,2.235759,0.000626,0.960224,-21.918824,1.453053,0.103132,0.369945,0.344376,0.095062,0.028852,0.173087,-0.100611,-0.226707,-0.224596,-0.053773,-0.114931,0.011229,0.002156,0.055639,0.005839,0.010942,0.002707,0.008995,0.001671,0.003906,0.003901,0.003662,0.001563,0.014947,0.028767,0.006669,0.005260,0.009197,0.001859,0.094873,0.000291,0.003793,0.149401,0.227144,0.115465,0.120623,0.111585,0.226568,0.113510,0.104675,0.172977,0.267779,0.105789,0.104496,0.169010,0.013302,0.000566,0.009288,0.003506,0.003960,0.001168,0.003948,0.000437,0.000949,0.001882,0.001792,0.000982,0.002714,blanc
0.590642,0.011195,3.275798,0.577548,0.346773,2.394653,0.000787,0.965495,-24.945939,0.995343,0.009721,0.538420,0.372415,0.020567,0.012577,0.322170,0.157789,-0.014929,0.016004,0.109879,0.076623,0.003797,0.002387,0.020534,0.002525,0.008169,0.002340,0.011252,0.001551,0.001869,0.002798,0.006771,0.002011,0.006654,0.062233,0.005362,0.086836,0.036967,0.004473,0.127299,0.000206,0.023367,0.605588,0.222084,0.253671,0.215756,0.134082,0.163963,0.188479,0.174765,0.164972,0.125946,0.116819,0.121375,0.137796,0.002446,0.001971,0.016043,0.001396,0.006117,0.001356,0.007664,0.000884,0.001010,0.001907,0.004303,0.001255,0.004067,blanc
0.594409,0.019533,3.295246,0.588037,0.346378,2.386586,0.000720,0.968728,-24.152992,1.010056,-0.023257,0.623481,0.370735,0.056897,0.052926,0.389703,0.189548,-0.026434,0.047990,0.130791,0.085648,0.002131,0.002387,0.015485,0.002520,0.016309,0.002404,0.006991,0.001376,0.002293,0.002291,0.004264,0.002095,0.006112,0.043294,0.001713,0.011883,0.007723,0.002697,0.050318,0.000225,0.007017,0.167841,0.195029,0.179378,0.135794,0.170193,0.134748,0.163543,0.149034,0.120243,0.107754,0.191079,0.099616,0.121627,0.001137,0.001967,0.016913,0.000747,0.010398,0.000924,0.002686,0.000592,0.001800,0.001485,0.002370,0.001267,0.004522,blanc
0.577700,0.052691,3.299084,0.586171,0.346243,2.371446,0.000748,0.967786,-22.855585,1.043535,-0.018998,0.546016,0.456614,0.098287,0.097909,0.358583,0.158094,-0.094610,0.003222,0.101709,0.224852,0.002907,0.001574,0.034899,0.002885,0.009106,0.001453,0.008919,0.001190,0.001254,0.002366,0.003167,0.002141,0.009890,0.061614,0.008005,0.010281,0.011130,0.005447,0.102805,0.000327,0.006866,0.174382,0.239820,0.113483,0.110643,0.193769,0.182308,0.058604,0.152747,0.129790,0.169279,0.163255,0.063019,0.118462,0.001916,0.000535,0.029904,0.001523,0.007742,0.000818,0.004775,0.000720,0.000633,0.001423,0.001612,0.000680,0.007701,blanc
